serial_number,activity_date,facility_name,score,grade,service_code,service_description,employee_id,facility_address,facility_city,facility_id,facility_state,facility_zip,owner_id,owner_name,pe_description,program_element_pe,program_name,program_status,record_id
DAYAWIOHH,2016-08-09T00:00:00.000,DODGER STADIUM,99,A,1,ROUTINE INSPECTION,EE0000122,1000 VIN SCULLY AVE,LOS ANGELES,FA0019271,CA,90012,OW0021606,LEVY PREMIUM FOOD SERVICE LP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,# 431 LOGE TERRACE BAR,ACTIVE,PR0048258
DAY9V2MAH,2017-10-12T00:00:00.000,7-ELEVEN 19598C,97,A,1,ROUTINE INSPECTION,EE0000722,473 N WESTERN AVE,LOS ANGELES,FA0003833,CA,90004,OW0019199,"KIM, CHONG C","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,7-ELEVEN 19598C,ACTIVE,PR0045843
DAYSHIQ5M,2017-02-27T00:00:00.000,HIGHLAND MARKET,96,A,1,ROUTINE INSPECTION,EE0000740,3101 N EASTERN AVE,LOS ANGELES,FA0028424,CA,90032,OW0021240,"LEE, JEFFREY","FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,HIGHLAND MARKET,ACTIVE,PR0039868
DAYAUPZU9,2016-10-03T00:00:00.000,L KITCHEN,90,A,1,ROUTINE INSPECTION,EE0001048,952 GAYLEY AVE,LOS ANGELES,FA0174142,CA,90024,OW0180847,"FIVE TIGERS, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,L KITCHEN,ACTIVE,PR0167011
DARHDE4UB,2016-06-23T00:00:00.000,CHEVRON 55944,92,A,1,ROUTINE INSPECTION,EE0001075,11951 W OLYMPIC BLVD,LOS ANGELES,FA0059613,CA,90064,OW0028894,"POULDAR, BOURIS","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1611,CHEVRON 55944,ACTIVE,PR0042579
DAXZ0LAQ0,2017-06-06T00:00:00.000,I LOVE BOBA,97,A,1,ROUTINE INSPECTION,EE0000923,1107 N ALVARADO ST,LOS ANGELES,FA0160469,CA,90026,OW0125433,JIN WOONG KIM,RESTAURANT (0-30) SEATS MODERATE RISK,1631,I LOVE BOBA,INACTIVE,PR0148558
DAG85EQVH,2017-12-28T00:00:00.000,EL ANTOJITO,90,A,1,ROUTINE INSPECTION,EE0000728,12730 S FIGUEROA ST STE 104-5,LOS ANGELES,FA0012048,CA,90016,OW0001824,"AGUILAR, JOSE",RESTAURANT (31-60) SEATS HIGH RISK,1635,EL ANTOJITO GRILL - STE 105,ACTIVE,PR0000259
DACKAETEJ,2018-01-30T00:00:00.000,DOMINO'S PIZZA,96,A,1,ROUTINE INSPECTION,EE0000846,5065 HOLLYWOOD BLVD STE 101,LOS ANGELES,FA0060991,CA,90027,OW0010606,E.M. PIZZA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,DOMINO'S PIZZA,ACTIVE,PR0010137
DADZ2YY3T,2018-02-05T00:00:00.000,RUBIES AND DIAMONDS,96,A,1,ROUTINE INSPECTION,EE0000709,6115 W SUNSET BLVD # 150,LOS ANGELES,FA0179109,CA,90028-6423,OW0184725,RUBIES AND DIAMONDS,RESTAURANT (31-60) SEATS HIGH RISK,1635,RUBIES AND DIAMONDS,ACTIVE,PR0172662
DA7CMZ0H2,2016-05-13T00:00:00.000,JONATHAN CLUB-BAKE SHOP,98,A,1,ROUTINE INSPECTION,EE0000721,545 S FIGUEROA ST,LOS ANGELES,FA0032019,CA,90017,OW0008389,"CLUB,JONATHAN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,JONATHAN CLUB-BAKE SHOP,ACTIVE,PR0005333
DA0732819,2016-12-11T00:00:00.000,NENA RESTAURANT,100,A,1,ROUTINE INSPECTION,EE0001026,1804 E VERNON AVE # D-51,LOS ANGELES,FA0067478,CA,90058,OW0026545,MARIA E. OCHOA,RESTAURANT (0-30) SEATS HIGH RISK,1632,NENA RESTAURANT,ACTIVE,PR0022857
DA0HQCQFK,2016-04-20T00:00:00.000,OH MY POKI,97,A,1,ROUTINE INSPECTION,EE0000721,333 S ALAMEDA ST # 100,LOS ANGELES,FA0222329,CA,90013,OW0227189,OH MY POKI INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,OH MY POKI,ACTIVE,PR0177332
DAIPYBW9O,2015-11-06T00:00:00.000,RALPHS MARKET #16,93,A,1,ROUTINE INSPECTION,EE0000854,670 S WESTERN AVE,LOS ANGELES,FA0045184,CA,90010,OW0029458,RALPHS GROCERY COMPANY,RESTAURANT (31-60) SEATS HIGH RISK,1635,RALPHS #16,ACTIVE,PR0038529
DAQQJ6TBA,2017-06-14T00:00:00.000,TENDER GREENS,93,A,1,ROUTINE INSPECTION,EE0000953,13455 MAXELLA AVE #210,LOS ANGELES,FA0138146,CA,90292,OW0179061,T.Y.P. RESTAURANT GROUP INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,TENDER GREENS,ACTIVE,PR0122389
DA40B1GLC,2016-06-06T00:00:00.000,GOLDS GYM,93,A,1,ROUTINE INSPECTION,EE0000721,725 S FIGUEROA ST STE 100,LOS ANGELES,FA0015303,CA,90017,OW0022258,LOS ANGELES CORP FITNESS INC,RESTAURANT (0-30) SEATS LOW RISK,1630,GOLDS GYM,ACTIVE,PR0044384
DAU0YDE4X,2017-03-29T00:00:00.000,YUCCA SUPER MARKET,93,A,1,ROUTINE INSPECTION,EE0000709,1815 N CAHUENGA BLVD,LOS ANGELES,FA0055447,CA,90028-5001,OW0101388,"HOLLYWOOD SUPER MARKET, INC.","FOOD MKT RETAIL (2,000+ SF) HIGH RISK",1615,YUCCA SUPER MARKET,ACTIVE,PR0006272
DAVAA1ZYK,2018-05-24T00:00:00.000,HOP LEE SEAFOOD #2,91,A,1,ROUTINE INSPECTION,EE0000338,10974 W PICO BLVD,LOS ANGELES,FA0063659,CA,90064,OW0016334,HOP KEE SEAFOOD #2,RESTAURANT (61-150) SEATS HIGH RISK,1638,HOP LEE SEAFOOD #2,ACTIVE,PR0023193
DA6CLHS6U,2015-12-16T00:00:00.000,THE MAN CAVE,83,B,1,ROUTINE INSPECTION,EE0000581,3575 W CAHUENGA BLVD W STE #110,LOS ANGELES,FA0051744,CA,90068,OW0005349,"BROWN, SCOTT ANTHONY",RESTAURANT (61-150) SEATS HIGH RISK,1638,THE MAN CAVE: ULTIMATE SPORTS BAR & LOUNGE,INACTIVE,PR0011249
DA80T9GZ4,2016-01-15T00:00:00.000,PANADERIA MI GUATEMALA,95,A,1,ROUTINE INSPECTION,EE0000006,4701 S NORMANDIE AVE,LOS ANGELES,FA0043050,CA,90037,OW0037439,"VEGA, GUSTAVO ADOLFO",RESTAURANT (0-30) SEATS MODERATE RISK,1631,PANADERIA MI GUATEMALA,ACTIVE,PR0020824
DAHKUL7PQ,2016-12-09T00:00:00.000,EMY'S BURGER,96,A,1,ROUTINE INSPECTION,EE0000799,7315 S COMPTON AVE,LOS ANGELES,FA0013051,CA,90001,OW0006504,CASTILLO ARCADIO,RESTAURANT (0-30) SEATS HIGH RISK,1632,EMY'S BURGER,ACTIVE,PR0024210
DAKRDSMFX,2017-11-29T00:00:00.000,AMAPOLA DELI & MARKET,84,B,1,ROUTINE INSPECTION,EE0000799,7223 S COMPTON AVE,LOS ANGELES,FA0006304,CA,90001,OW0020273,LA AMAPOLA INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,AMAPOLA TORTILLERIA,ACTIVE,PR0021764
DAO0QLXZK,2016-03-21T00:00:00.000,METRO ESTACION BALDERAS REST,94,A,1,ROUTINE INSPECTION,EE0000923,5305 N FIGUEROA ST,LOS ANGELES,FA0040257,CA,90042,OW0024297,METRO ESTACION BALDERAS INC.,RESTAURANT (0-30) SEATS HIGH RISK,1632,METRO ESTACION BALDERAS REST,ACTIVE,PR0008302
DAACNVKKQ,2018-01-04T00:00:00.000,EL BURRITOPANZON,94,A,1,ROUTINE INSPECTION,EE0001006,2108 BEVERLY BLVD,LOS ANGELES,FA0061349,CA,90057,OW0002847,APOLINAR CRUZ ARAGON ET AL,RESTAURANT (0-30) SEATS HIGH RISK,1632,EL BURRITOPANZON,ACTIVE,PR0013173
DANVRXLTT,2016-12-06T00:00:00.000,CENTRAL STORE,95,A,1,ROUTINE INSPECTION,EE0000724,10105 S CENTRAL AVE,LOS ANGELES,FA0059415,CA,90002,OW0004198,NORMA ULLOA BECERRA,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,CENTRAL STORE MEAT DEPT.,ACTIVE,PR0164666
DAFXAKFLD,2016-08-16T00:00:00.000,INDIA'S GRILL,90,A,1,ROUTINE INSPECTION,EE0000659,428 S SAN VICENTE BLVD,LOS ANGELES,FA0230665,CA,90048,OW0234775,"LUCKYRICKY,INC.",RESTAURANT (31-60) SEATS HIGH RISK,1635,INDIA'S GRILL,ACTIVE,PR0186016
DASPGV4FU,2018-03-27T00:00:00.000,FLORAL MARKET,92,A,1,ROUTINE INSPECTION,EE0000557,4323 FLORAL DR,LOS ANGELES,FA0241839,CA,90022-1018,OW0237633,MIRIAM HERNANDEZ,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,FLORAL MARKET,ACTIVE,PR0189967
DAJCRNOSP,2017-03-20T00:00:00.000,RAMEN YAMADAYA,93,A,1,ROUTINE INSPECTION,EE0000684,1248 WESTWOOD BLVD,LOS ANGELES,FA0045326,CA,90024,OW0017718,JINS DINING USA,RESTAURANT (31-60) SEATS HIGH RISK,1635,RAMEN YAMADAYA,ACTIVE,PR0031300
DAHLOLW0G,2017-08-07T00:00:00.000,RALPHS MARKET #32,94,A,1,ROUTINE INSPECTION,EE0000946,3410 W 3RD ST,LOS ANGELES,FA0045837,CA,90020,OW0029458,RALPHS GROCERY COMPANY,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,RALPH'S GROCERY #32 MEAT DEP,ACTIVE,PR0017594
DATV017Y0,2018-02-27T00:00:00.000,DIAMOND DONUTS AND CHINESE DELI,94,A,1,ROUTINE INSPECTION,EE0000195,639 E EL SEGUNDO BLVD,LOS ANGELES,FA0248388,CA,90059,OW0242811,ALVIN PHEASA UNG,RESTAURANT (0-30) SEATS HIGH RISK,1632,DIAMOND DONUTS AND CHINESE DELI,ACTIVE,PR0197028
DAMKVGV6V,2016-12-06T00:00:00.000,MAGGIES COFFEE SHOP,96,A,1,ROUTINE INSPECTION,EE0000740,414 E 12TH ST,LOS ANGELES,FA0066217,CA,90015,OW0002105,"ALFARO, JUAN",RESTAURANT (0-30) SEATS HIGH RISK,1632,MAGGIES COFFEE SHOP,ACTIVE,PR0010451
DAR9ZJP20,2017-01-27T00:00:00.000,CIRCLE H MARKETS&LIQUOR/MEAT,98,A,1,ROUTINE INSPECTION,EE0000923,2511 W SUNSET BLVD,LOS ANGELES,FA0009249,CA,90026,OW0008159,CIRCLE H MARKETS INC,"FOOD MKT RETAIL (1-1,999 SF) HIGH RISK",1612,CIRCLE H MARKETS&LIQUOR/MEAT,ACTIVE,PR0002546
DAHKPMC0S,2015-11-24T00:00:00.000,L.A. DONUTS & CROISSANT,84,B,1,ROUTINE INSPECTION,EE0000946,102 S VERMONT AVE,LOS ANGELES,FA0159183,CA,90004-5905,OW0124206,"KONG, CINDY",RESTAURANT (0-30) SEATS MODERATE RISK,1631,L.A. DONUTS & CROISSANT,ACTIVE,PR0147246
DAJJ8QJUT,2015-11-20T00:00:00.000,LOS AMIGOS BAKERY,81,B,1,ROUTINE INSPECTION,EE0000531,3105 W 8TH ST,LOS ANGELES,FA0022736,CA,90005,OW0024323,"MEXICANO, AGUSTIN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,LOS AMIGOS BAKERY,ACTIVE,PR0003494
DAJQ2CVTB,2017-03-08T00:00:00.000,AMY'S BAKERY,92,A,1,ROUTINE INSPECTION,EE0001058,633 N SPRING ST #6,LOS ANGELES,FA0006630,CA,90012,OW0036436,"TRAN, SAO HA",RESTAURANT (0-30) SEATS MODERATE RISK,1631,AMY'S BAKERY,ACTIVE,PR0016019
DAFJ0ENWL,2018-05-15T00:00:00.000,GEORGE'S DRIVE-IN BOYLE HEIGHTS,92,A,1,ROUTINE INSPECTION,EE0000740,2311 E CESAR E CHAVEZ AVE,LOS ANGELES,FA0166884,CA,90033,OW0129971,GEORGE'S DRIVE-IN BOYLE HEIGHTS LLC,RESTAURANT (0-30) SEATS HIGH RISK,1632,GEORGE'S DRIVE-IN BOYLE HEIGHTS,ACTIVE,PR0157220
DA8BRTICU,2017-05-15T00:00:00.000,KONY PIZZERIA PUB,90,A,1,ROUTINE INSPECTION,EE0000699,3281 WILSHIRE BLVD,LOS ANGELES,FA0136977,CA,90010,OW0099759,KONY WILSHIRE INC.,RESTAURANT (61-150) SEATS HIGH RISK,1638,KONY PIZZERIA PUB,ACTIVE,PR0120969
DAN2HORP5,2017-02-23T00:00:00.000,FERTITTA CAFE,99,A,1,ROUTINE INSPECTION,EE0000117,610 CHILD'S WAY,LOS ANGELES,FA0240113,CA,90089,OW0227063,USC HOSPITALITY SERVICES,RESTAURANT (151 + ) SEATS HIGH RISK,1641,FERTITTA CAFE,ACTIVE,PR0188119
DACG4H6DC,2016-02-10T00:00:00.000,PINK DONUT,90,A,1,ROUTINE INSPECTION,EE0000884,2006 W 6TH ST,LOS ANGELES,FA0202873,CA,90057,OW0208157,SOKLEN LIM,RESTAURANT (0-30) SEATS HIGH RISK,1631,PINK DONUT,ACTIVE,PR0175167
DAJ6QRKWO,2015-11-02T00:00:00.000,JUICE CRAFTERS,93,A,1,ROUTINE INSPECTION,EE0000923,2740 N GRIFFITH PARK,LOS ANGELES,FA0177867,CA,90027,OW0099818,VENTURE ONE GROUP INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,JUICE CRAFTERS,ACTIVE,PR0170946
DAJRH1LPR,2017-01-12T00:00:00.000,CHEVRON FOOD MART,98,A,1,ROUTINE INSPECTION,EE0000798,3742 S LA BREA AVE,LOS ANGELES,FA0014709,CA,90016,OW0012527,G & M OIL CO,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,CHEVRON FOOD MART,ACTIVE,PR0035550
DALCFDHSP,2018-04-06T00:00:00.000,CHOP SUEY,91,A,1,ROUTINE INSPECTION,EE0000360,347 E 1ST ST,LOS ANGELES,FA0009001,CA,90013,OW0011597,FAR EAST CAFE LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,CHOP SUEY,ACTIVE,PR0033147
DA2PAB1NU,2017-11-08T00:00:00.000,NATURE'S HOTLINE NATURAL SOUL FOOD CAFE,98,A,1,ROUTINE INSPECTION,EE0000905,1444 W MARTIN LUTHER KING BLVD,LOS ANGELES,FA0248418,CA,90062,OW0242835,JACINTO A RHINES,RESTAURANT (31-60) SEATS HIGH RISK,1635,NATURE'S HOTLINE NATURAL SOUL FOOD CAFE,ACTIVE,PR0197064
DA5BDY5LM,2015-12-06T00:00:00.000,LOCAL TABLE,93,A,1,ROUTINE INSPECTION,EE0000721,800 S FIGUEROA ST # 103,LOS ANGELES,FA0151602,CA,90017,OW0117302,FIG AND 8 LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,LOCAL TABLE,INACTIVE,PR0137965
DANMGYG0M,2017-03-07T00:00:00.000,INDIA SWEET HOUSE,93,A,1,ROUTINE INSPECTION,EE0000727,5992 W PICO BLVD,LOS ANGELES,FA0018003,CA,90035,OW0007561,"CHILLAR, JAGDISH SINGH",RESTAURANT (0-30) SEATS MODERATE RISK,1631,INDIA SWEET HOUSE,ACTIVE,PR0029792
DAFRZX9M4,2016-04-21T00:00:00.000,BON BON BERRY,92,A,1,ROUTINE INSPECTION,EE0000684,1848 WESTWOOD BLVD,LOS ANGELES,FA0138427,CA,90025,OW0101783,"LITCHI LIME CREATIVE, LLC.",RESTAURANT (0-30) SEATS MODERATE RISK,1631,BON BON BERRY,ACTIVE,PR0122745
DAH8HMB04,2017-03-13T00:00:00.000,RESTAURANT AFSHAN CLASSIS,90,A,1,ROUTINE INSPECTION,EE0000721,106 W 9TH ST,LOS ANGELES,FA0045658,CA,90015,OW0003200,"ASHENA, FARAHNAZ",RESTAURANT (0-30) SEATS HIGH RISK,1632,RESTAURANT AFSHAN CLASSIS,ACTIVE,PR0038120
DA25EM3AG,2015-11-12T00:00:00.000,THAI TASTE,91,A,1,ROUTINE INSPECTION,EE0000953,12824 VENICE BLVD,LOS ANGELES,FA0036862,CA,90066,OW0007819,CHOITIKASUPASERANEE SADWARAT,RESTAURANT (0-30) SEATS HIGH RISK,1632,THAI TASTE,ACTIVE,PR0022823
DA39FIZW1,2018-07-11T00:00:00.000,LA ESPECIAL,95,A,1,ROUTINE INSPECTION,EE0000923,700 CYPRESS AVE,LOS ANGELES,FA0033203,CA,90065,OW0033451,"SOLIS,ANGELA O DBA",RESTAURANT (0-30) SEATS HIGH RISK,1632,LA ESPECIAL,ACTIVE,PR0023031
DATTWEBP5,2016-08-31T00:00:00.000,CBS TVC CAFE,93,A,1,ROUTINE INSPECTION,EE0000117,7800 BEVERLY BLVD,LOS ANGELES,FA0142182,CA,90036-2112,OW0033332,SODEXO AMERICA LLC,RESTAURANT (61-150) SEATS HIGH RISK,1638,CBS TVC CAFE,ACTIVE,PR0127373
DAVJ8LHUY,2016-12-21T00:00:00.000,PANDA EXPRESS #948,98,A,1,ROUTINE INSPECTION,EE0000746,4947 EAGLE ROCK BLVD,LOS ANGELES,FA0043102,CA,90041,OW0027458,PANDA EXPRESS INC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,PANDA EXPRESS #948,ACTIVE,PR0009750
DAJNSXLR0,2018-06-18T00:00:00.000,VARIEDADES CAMELLO,93,A,1,ROUTINE INSPECTION,EE0000800,4720 S VERMONT ST,LOS ANGELES,FA0260112,CA,90037,OW0251989,JAIME D VALLE,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,VARIEDADES CAMELLO,ACTIVE,PR0210455
DAB4RYTVW,2017-03-16T00:00:00.000,ADU BURGES,91,A,1,ROUTINE INSPECTION,EE0001064,8020 S VERMONT AVE,LOS ANGELES,FA0137628,CA,90044,OW0100759,"COLCHADO, GLADYS",RESTAURANT (0-30) SEATS HIGH RISK,1632,ADU BURGES,INACTIVE,PR0121745
DAYXOHCD2,2017-10-24T00:00:00.000,LMU,96,A,1,ROUTINE INSPECTION,EE0000117,1 LMU DR #MS 8420,LOS ANGELES,FA0024180,CA,90045,OW0033334,SODEXO AMERICA LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LMU-BURNS REC CONCESSION,ACTIVE,PR0040275
DA0PVNOJJ,2015-10-27T00:00:00.000,LA OAXAQUENA MINI MARKET,94,A,1,ROUTINE INSPECTION,EE0000912,5642 SANTA MONICA BLVD,LOS ANGELES,FA0021003,CA,90038,OW0028111,PEDRO CRUZ,"FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,LA OAXAQUENA MINI MARKET,ACTIVE,PR0038682
DA40TVL8K,2015-11-02T00:00:00.000,VERMONT SOON DAE,90,A,1,ROUTINE INSPECTION,EE0000531,923 S VERMONT AVE,LOS ANGELES,FA0073375,CA,90006,OW0021169,"LEE, CHUNG HOON",RESTAURANT (31-60) SEATS HIGH RISK,1635,VERMONT SOON DAE,ACTIVE,PR0040756
DAEP5PHRP,2018-02-12T00:00:00.000,EL PARAISO BAKERY,96,A,401,OWNER INITIATED ROUTINE INSPECT.,EE0000997,919 SOTO ST # 8,LOS ANGELES,FA0245813,CA,90023-1303,OW0240795,EL PARAISO BAKERY INC.,RESTAURANT (0-30) SEATS MODERATE RISK,1631,EL PARAISO BAKERY,ACTIVE,PR0194190
DAGFNY3ZR,2016-06-02T00:00:00.000,LA ZOO,94,A,1,ROUTINE INSPECTION,EE0000697,5333 ZOO DR,LOS ANGELES,FA0023360,CA,90027,OW0032279,SERVICE AMERICA CORP,RESTAURANT (0-30) SEATS HIGH RISK,1632,ZOO PRODUCTION KITCHEN,ACTIVE,PR0038397
DAXLXNRG5,2018-07-17T00:00:00.000,HORTON & CONVERSE PHARMACY,97,A,1,ROUTINE INSPECTION,EE0000659,8631 W 3RD ST STE 315,LOS ANGELES,FA0029429,CA,90048,OW0016360,HORTON & CONVERSE PHARMACY,"FOOD MKT RETAIL (1-1,999 SF) LOW RISK",1610,HORTON & CONVERSE PHARMACY,ACTIVE,PR0036207
DAI0FKQ1X,2015-09-17T00:00:00.000,AMIN'S SHELL,97,A,1,ROUTINE INSPECTION,EE0000800,2603 S NORMANDIE AVE,LOS ANGELES,FA0006622,CA,90007,OW0017111,"ISLAM, AMIRUL","FOOD MKT RETAIL (25-1,999 SF) LOW RISK",1610,AMIN'S SHELL,ACTIVE,PR0033481
DAXKQN0HO,2017-08-18T00:00:00.000,PIZZA HUT #26205,98,A,1,ROUTINE INSPECTION,EE0000740,5130 HUNTINGTON DR S,LOS ANGELES,FA0044241,CA,90032,OW0033717,SOUTHERN CALIFORNIA PIZZA CO LLC,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA HUT #26205,ACTIVE,PR0045726
DAPQ0LQPV,2016-06-23T00:00:00.000,PIZZA LA,98,A,1,ROUTINE INSPECTION,EE0000923,3109 N SAN FERNANDO RD,LOS ANGELES,FA0222724,CA,90065,OW0227522,JAIME VALLIN,RESTAURANT (0-30) SEATS MODERATE RISK,1631,PIZZA LA,ACTIVE,PR0177769
DAD95VEH6,2017-01-26T00:00:00.000,LARCHMONT VILLAGE WINE & SPI,97,A,1,ROUTINE INSPECTION,EE0000828,223 N LARCHMONT BLVD,LOS ANGELES,FA0065441,CA,90004,OW0004933,"BOCCATO, JOHN V","FOOD MKT RETAIL (1-1,999 SF) MODERATE RISK",1611,LARCHMONT VILLAGE WINE & SPI,ACTIVE,PR0016308
DAMSRHGFH,2015-10-28T00:00:00.000,CHINA CHEF'S EXPRESS,92,A,1,ROUTINE INSPECTION,EE0000366,2040 S CENTRAL AVE,LOS ANGELES,FA0159771,CA,90011-1235,OW0124772,RONG ZHAO,RESTAURANT (0-30) SEATS HIGH RISK,1632,CHINA CHEF'S EXPRESS,INACTIVE,PR0147836
DA77208YM,2017-06-15T00:00:00.000,ESTHER'S  RESTAURANT,86,B,1,ROUTINE INSPECTION,EE0000723,1811 W 7TH ST,LOS ANGELES,FA0175492,CA,90057,OW0182044,ESTHER BRIGIDA ESPINOZA,RESTAURANT (0-30) SEATS HIGH RISK,1632,ESTHER'S  RESTAURANT,INACTIVE,PR0168642
DAXXUDB4M,2017-07-25T00:00:00.000,PACE,95,A,1,ROUTINE INSPECTION,EE0000822,2100 LAUREL CANYON BLVD,LOS ANGELES,FA0043420,CA,90046,OW0031645,SANDRO CORPORATION,RESTAURANT (31-60) SEATS HIGH RISK,1635,PACE,ACTIVE,PR0003721
DAIZTYFSM,2018-05-18T00:00:00.000,MICROSOFT THEATER,98,A,1,ROUTINE INSPECTION,EE0000633,777 W CHICK HEARN CT,LOS ANGELES,FA0014694,CA,90015,OW0021612,LEVY PREMIUM FOODSERVICE LIMITED PARTNERSHIP,RESTAURANT (0-30) SEATS MODERATE RISK,1631,LOGE GALLERY BOX SOUTH,ACTIVE,PR0007091
DAGBLKYTB,2016-08-08T00:00:00.000,LIEDER`S,92,A,1,ROUTINE INSPECTION,EE0000059,8721 W PICO BLVD,LOS ANGELES,FA0139063,CA,90035,OW0102322,"MILLENNIAL FOODS, LLC",RESTAURANT (0-30) SEATS HIGH RISK,1632,LIEDER`S,ACTIVE,PR0123446
DACSFGXCD,2017-06-28T00:00:00.000,SUGAR DONUTS,96,A,1,ROUTINE INSPECTION,EE0000800,809 W VERNON AVE,LOS ANGELES,FA0049440,CA,90037,OW0007550,CHIEU K. NEANG,RESTAURANT (0-30) SEATS HIGH RISK,1632,SUGAR DONUTS,ACTIVE,PR0021353
DASYPPQ27,2016-05-05T00:00:00.000,BEYLUL RESTAURANT,94,A,1,ROUTINE INSPECTION,EE0000798,5477 W ADAMS BLVD,LOS ANGELES,FA0005494,CA,90016,OW0010765,EGZIBHER DERES GEBRE,RESTAURANT (61-150) SEATS MODERATE RISK,1637,BEYLUL RESTAURANT,ACTIVE,PR0033144
DAR8QXVXF,2016-09-07T00:00:00.000,LA SERENATA,90,A,1,ROUTINE INSPECTION,EE0000740,1842 E 1ST ST,LOS ANGELES,FA0033709,CA,90033,OW0030574,"RODRIQUEZ,JOSE H",RESTAURANT (31-60) SEATS HIGH RISK,1635,LA SERENATA,INACTIVE,PR0044644
DAA7DCFUA,2018-07-12T00:00:00.000,YAMASHIRO,95,A,1,ROUTINE INSPECTION,EE0000822,1999 N SYCAMORE AVE,LOS ANGELES,FA0240842,CA,90068,OW0236865,CEDAR RESTAURANT GROUP LLC,RESTAURANT (151 + ) SEATS HIGH RISK,1641,YAMASHIRO,ACTIVE,PR0188897
DA080XQ2I,2018-04-18T00:00:00.000,PICO RICA RICO,95,A,1,ROUTINE INSPECTION,EE0000884,2704 W PICO BLVD,LOS ANGELES,FA0020826,CA,90006,OW0099392,"UMANZOR, FRANCISCO",RESTAURANT (31-60) SEATS HIGH RISK,1635,PICO RICA RICO,ACTIVE,PR0038917
DACNWL6OG,2017-04-19T00:00:00.000,TAQUERIA LA CARRETA,95,A,1,ROUTINE INSPECTION,EE0000594,1471 E VERNON AVE,LOS ANGELES,FA0036353,CA,90011,OW0009986,"DIAZ, ENRIQUE",RESTAURANT (31-60) SEATS HIGH RISK,1635,TAQUERIA LA CARRETA,ACTIVE,PR0044436
DADBOY300,2015-07-30T00:00:00.000,THE VEGAN JOINT,94,A,1,ROUTINE INSPECTION,EE0000015,10438 NATIONAL BLVD,LOS ANGELES,FA0051809,CA,90034,OW0029738,RATTANA PETMUNEE,RESTAURANT (31-60) SEATS HIGH RISK,1635,THE VEGAN JOINT,ACTIVE,PR0016495
DA0B3O7HF,2016-12-16T00:00:00.000,REGENT CHINA INNC,90,A,1,ROUTINE INSPECTION,EE0001058,739 N MAIN ST,LOS ANGELES,FA0046179,CA,90012,OW0029911,"REGENT CHINA, INC",RESTAURANT (61-150) SEATS HIGH RISK,1638,REGENT CHINA INNC,ACTIVE,PR0042561
DAQT948ZU,2016-11-02T00:00:00.000,DIVINIO,97,A,1,ROUTINE INSPECTION,EE0000924,11714 BARRINGTON CT,LOS ANGELES,FA0018821,CA,90049,OW0010127,DIVINIO PARTNERS LTD,RESTAURANT (31-60) SEATS HIGH RISK,1635,DIVINIO,ACTIVE,PR0025261
DA0599605,2015-07-08T00:00:00.000,STAN'S DONUTS,94,A,1,ROUTINE INSPECTION,EE0000911,10948 WEYBURN AVE,LOS ANGELES,FA0048548,CA,90024,OW0004460,"BERMAN, STAN",RESTAURANT (0-30) SEATS MODERATE RISK,1631,STAN'S DONUTS,ACTIVE,PR0028717
DAQXXIUWJ,2017-02-14T00:00:00.000,ONKEI RAMEN,85,B,1,ROUTINE INSPECTION,EE0001048,10942 WEYBURN AVE,LOS ANGELES,FA0027147,CA,90024,OW0026805,ONKEI RAMEN LLC.,RESTAURANT (31-60) SEATS HIGH RISK,1635,ONKEI RAMEN,ACTIVE,PR0040004
DARYAHXIV,2018-03-29T00:00:00.000,WAKO DONKASU,91,A,1,ROUTINE INSPECTION,EE0000884,2904 W OLYMPIC BLVD,LOS ANGELES,FA0179887,CA,90006,OW0185367,"WAKO DONKASU II, INC",RESTAURANT (61-150) SEATS HIGH RISK,1638,WAKO DONKASU,ACTIVE,PR0173558
